scalar,RGB_r,RGB_g,RGB_b
0.69921875,255.0,133.0,5.0
0.703125,255.0,135.0,7.0
0.70703125,255.0,137.0,9.0
0.7109375,255.0,139.0,11.0
0.71484375,255.0,141.0,13.0
0.71875,255.0,143.0,15.0
0.72265625,255.0,145.0,17.0
0.7265625,255.0,146.0,19.0
0.73046875,255.0,148.0,21.0
0.734375,255.0,150.0,23.0
0.73828125,255.0,152.0,25.0
0.7421875,255.0,154.0,26.0
0.74609375,255.0,156.0,28.0
0.75,255.0,157.0,30.0
0.75390625,255.0,159.0,32.0
0.7578125,255.0,161.0,34.0
0.76171875,255.0,163.0,35.0
0.765625,255.0,165.0,37.0
0.76953125,255.0,166.0,39.0
0.7734375,255.0,168.0,41.0
0.77734375,255.0,170.0,42.0
0.78125,255.0,172.0,44.0
0.78515625,255.0,173.0,46.0
0.7890625,255.0,175.0,48.0
0.79296875,255.0,177.0,49.0
0.796875,255.0,179.0,51.0
0.80078125,255.0,180.0,53.0
0.8046875,255.0,182.0,54.0
0.80859375,255.0,184.0,56.0
0.8125,255.0,185.0,58.0
0.81640625,255.0,187.0,60.0
0.8203125,255.0,189.0,61.0
0.82421875,255.0,190.0,63.0
0.828125,255.0,192.0,65.0
0.83203125,255.0,194.0,66.0
0.8359375,255.0,196.0,68.0
0.83984375,255.0,197.0,70.0
0.84375,255.0,199.0,71.0
0.84765625,255.0,201.0,73.0
0.8515625,255.0,202.0,75.0
0.85546875,255.0,204.0,76.0
0.859375,255.0,206.0,78.0
0.86328125,255.0,207.0,80.0
0.8671875,255.0,209.0,81.0
0.87109375,255.0,211.0,83.0
0.875,255.0,212.0,85.0
0.87890625,255.0,214.0,86.0
0.8828125,255.0,215.0,88.0
0.88671875,255.0,217.0,90.0
0.890625,255.0,219.0,91.0
0.89453125,255.0,220.0,93.0
0.8984375,255.0,222.0,95.0
0.90234375,255.0,224.0,96.0
0.90625,255.0,225.0,98.0
0.91015625,255.0,227.0,100.0
0.9140625,255.0,229.0,101.0
0.91796875,255.0,230.0,103.0
0.921875,255.0,232.0,105.0
0.92578125,255.0,234.0,106.0
0.9296875,255.0,235.0,108.0
0.93359375,255.0,237.0,110.0
0.9375,255.0,239.0,111.0
0.94140625,255.0,240.0,113.0
0.9453125,255.0,242.0,114.0
0.94921875,255.0,244.0,116.0
0.953125,255.0,245.0,118.0
0.95703125,255.0,247.0,119.0
0.9609375,255.0,249.0,121.0
0.96484375,255.0,250.0,123.0
0.96875,255.0,252.0,124.0
0.97265625,255.0,254.0,126.0
0.9765625,255.0,255.0,142.0
0.98046875,255.0,255.0,171.0
0.984375,254.0,255.0,195.0
0.98828125,255.0,255.0,216.0
0.9921875,254.0,255.0,236.0
0.99609375,255.0,255.0,255.0
1.0,255.0,255.0,255.0
