scalar,RGB_r,RGB_g,RGB_b
0.39215686274509803,145,34,105
0.396078431372549,146,34,104
0.4,148,35,104
0.403921568627451,149,36,103
0.40784313725490196,151,36,103
0.4117647058823529,152,37,102
0.4156862745098039,154,38,102
0.4196078431372549,155,38,101
0.4235294117647059,157,39,100
0.42745098039215684,158,40,100
0.43137254901960786,160,40,99
0.43529411764705883,161,41,98
0.4392156862745098,162,42,98
0.44313725490196076,164,42,97
0.44705882352941173,165,43,96
0.45098039215686275,167,44,96
0.4549019607843137,168,44,95
0.4588235294117647,170,45,94
0.4627450980392157,171,46,93
0.4666666666666667,173,47,93
0.47058823529411764,174,47,92
0.4745098039215686,176,48,91
0.4784313725490196,177,49,90
0.4823529411764706,178,50,89
0.48627450980392156,180,51,88
0.49019607843137253,181,51,88
0.49411764705882355,183,52,87
0.4980392156862745,184,53,86
0.5019607843137255,185,54,85
0.5058823529411764,187,55,84
0.5098039215686274,188,56,83
0.5137254901960784,189,57,82
0.5176470588235293,191,57,81
0.5215686274509804,192,58,80
0.5254901960784314,194,59,79
0.5294117647058824,195,60,78
0.5333333333333333,196,61,77
0.5372549019607843,197,62,76
0.5411764705882353,199,63,75
0.5450980392156862,200,64,74
0.5490196078431373,201,65,73
0.5529411764705883,203,66,72
0.5568627450980392,204,67,71
0.5607843137254902,205,69,70
0.5647058823529412,206,70,69
0.5686274509803921,207,71,67
0.5725490196078431,209,72,66
0.5764705882352941,210,73,65
0.580392156862745,211,74,64
0.5843137254901961,212,76,63
0.5882352941176471,213,77,62
0.592156862745098,214,78,61
0.596078431372549,215,79,59
0.6,217,81,58
0.6039215686274509,218,82,57
0.6078431372549019,219,83,56
0.611764705882353,220,85,55
0.615686274509804,221,86,54
0.6196078431372549,222,87,52
0.6235294117647059,223,89,51
0.6274509803921569,224,90,50
0.6313725490196078,224,92,49
0.6352941176470588,225,93,48
0.6392156862745098,226,95,46
0.6431372549019607,227,96,45
0.6470588235294118,228,98,44
0.6509803921568628,229,99,43
0.6549019607843137,230,101,41
0.6588235294117647,230,102,40
0.6627450980392157,231,104,39
0.6666666666666666,232,105,37
0.6705882352941176,233,107,36
0.6745098039215687,233,108,35
0.6784313725490196,234,110,34
0.6823529411764706,235,112,32
0.6862745098039216,235,113,31
0.6901960784313725,236,115,29
0.6941176470588235,237,117,28
0.6980392156862745,237,118,27
0.7019607843137254,238,120,25
0.7058823529411764,238,122,24
0.7098039215686275,239,124,22
0.7137254901960784,239,125,21
0.7176470588235294,240,127,19
0.7215686274509804,240,129,18
0.7254901960784313,241,130,16
0.7294117647058823,241,132,15
0.7333333333333333,241,134,13
0.7372549019607844,242,136,12
0.7411764705882353,242,138,10
0.7450980392156863,242,139,8
0.7490196078431373,243,141,7
0.7529411764705882,243,143,6
0.7568627450980392,243,145,4
0.7607843137254902,244,147,3
0.7647058823529411,244,149,3
0.7686274509803921,244,150,2
0.7725490196078432,244,152,1
0.7764705882352941,244,154,1
0.7803921568627451,244,156,1
0.7843137254901961,244,158,1
0.788235294117647,245,160,1
0.792156862745098,245,162,2
0.796078431372549,245,164,2
0.8,245,166,3
0.803921568627451,245,168,5
0.807843137254902,245,169,6
0.8117647058823529,244,171,8
0.8156862745098039,244,173,10
0.8196078431372549,244,175,12
0.8235294117647058,244,177,14
0.8274509803921568,244,179,17
0.8313725490196078,244,181,19
0.8352941176470589,244,183,21
0.8392156862745098,243,185,24
0.8431372549019608,243,187,26
0.8470588235294118,243,189,28
0.8509803921568627,243,191,31
0.8549019607843137,242,193,33
0.8588235294117647,242,195,36
0.8627450980392157,242,197,38
0.8666666666666667,241,199,41
0.8705882352941177,241,201,44
0.8745098039215686,240,203,46
0.8784313725490196,240,205,49
0.8823529411764706,240,207,52
0.8862745098039215,239,209,55
0.8901960784313725,239,211,58
0.8941176470588235,238,213,61
0.8980392156862745,238,215,64
0.9019607843137255,237,217,67
0.9058823529411765,237,219,70
0.9098039215686274,236,220,73
0.9137254901960784,235,222,77
0.9176470588235294,235,224,80
0.9215686274509803,234,226,84
0.9254901960784314,234,228,87
0.9294117647058824,234,230,91
